Rank,Club,Country,Elo,Slug,_fetched_at
1,Bayern München,GER,2027.0,Bayern,2026-08-30T08:43:37.451971+00:00
2,Arsenal,ENG,2007.0,Arsenal,2026-08-30T08:43:37.451971+00:00
3,Man City,ENG,1999.0,ManCity,2026-08-30T08:43:37.451971+00:00
4,Barcelona,ESP,1986.0,Barcelona,2026-08-30T08:43:37.451971+00:00
5,Real Madrid,ESP,1952.0,realmadrid,2026-08-30T08:43:37.451971+00:00
6,Paris SG,FRA,1938.0,ParisSG,2026-08-30T08:43:37.451971+00:00
7,Internazionale,ITA,1921.0,Inter,2026-08-30T08:43:37.451971+00:00
8,Liverpool,ENG,1902.0,Liverpool,2026-08-30T08:43:37.451971+00:00
9,Atlético,ESP,1880.0,atletico,2026-08-30T08:43:37.451971+00:00
10,Aston Villa,ENG,1871.0,AstonVilla,2026-08-30T08:43:37.451971+00:00
11,Dortmund,GER,1867.0,Dortmund,2026-08-30T08:43:37.451971+00:00
12,Chelsea,ENG,1864.0,Chelsea,2026-08-30T08:43:37.451971+00:00
13,Newcastle,ENG,1862.0,Newcastle,2026-08-30T08:43:37.451971+00:00
14,Man United,ENG,1859.0,ManUnited,2026-08-30T08:43:37.451971+00:00
15,Sporting,POR,1855.0,Sporting,2026-08-30T08:43:37.451971+00:00
16,Brighton,ENG,1847.0,Brighton,2026-08-30T08:43:37.451971+00:00
17,Leverkusen,GER,1843.0,Leverkusen,2026-08-30T08:43:37.451971+00:00
18,Flamengo,BRA,1833.0,flamengo,2026-08-30T08:43:37.451971+00:00
19,Bournemouth,ENG,1831.0,Bournemouth,2026-08-30T08:43:37.451971+00:00
20,Palmeiras,BRA,1829.0,palmeiras,2026-08-30T08:43:37.451971+00:00
21,Brentford,ENG,1827.0,Brentford,2026-08-30T08:43:37.451971+00:00
22,Napoli,ITA,1826.0,Napoli,2026-08-30T08:43:37.451971+00:00
23,Benfica,POR,1822.0,benfica,2026-08-30T08:43:37.451971+00:00
24,Juventus,ITA,1821.0,Juventus,2026-08-30T08:43:37.451971+00:00
25,Roma,ITA,1821.0,Roma,2026-08-30T08:43:37.451971+00:00
26,RB Leipzig,GER,1818.0,RBLeipzig,2026-08-30T08:43:37.451971+00:00
27,Porto,POR,1810.0,porto,2026-08-30T08:43:37.451971+00:00
28,Milan,ITA,1808.0,Milan,2026-08-30T08:43:37.451971+00:00
29,Lens,FRA,1804.0,Lens,2026-08-30T08:43:37.451971+00:00
30,Stuttgart,GER,1803.0,Stuttgart,2026-08-30T08:43:37.451971+00:00
31,Atalanta,ITA,1802.0,atalanta,2026-08-30T08:43:37.451971+00:00
32,Everton,ENG,1796.0,Everton,2026-08-30T08:43:37.451971+00:00
33,Crystal Palace,ENG,1794.0,CrystalPalace,2026-08-30T08:43:37.451971+00:00
34,Brugge,BEL,1793.0,Brugge,2026-08-30T08:43:37.451971+00:00
35,Leeds,ENG,1787.0,Leeds,2026-08-30T08:43:37.451971+00:00
36,Zenit,RUS,1787.0,Zenit,2026-08-30T08:43:37.451971+00:00
37,Villarreal,ESP,1786.0,Villarreal,2026-08-30T08:43:37.451971+00:00
38,Galatasaray,TUR,1786.0,Galatasaray,2026-08-30T08:43:37.451971+00:00
39,Fulham,ENG,1785.0,Fulham,2026-08-30T08:43:37.451971+00:00
40,Tottenham,ENG,1784.0,Tottenham,2026-08-30T08:43:37.451971+00:00
41,Forest,ENG,1782.0,Forest,2026-08-30T08:43:37.451971+00:00
