date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,league,season
2021-08-20,Inter,Milan,0,0,1.471,1.03,Serie A,2021/2022
2021-08-21,Bologna,Napoli,1,0,0.969,1.257,Serie A,2021/2022
2021-08-21,Salernitana,Inter,0,5,0.6,2.549,Serie A,2021/2022
2021-08-21,Lecce,Udinese,0,1,1.076,1.127,Serie A,2021/2022
2021-08-21,Udinese,Empoli,1,0,1.496,0.753,Serie A,2021/2022
2021-08-21,Monza,Roma,4,2,0.748,1.412,Serie A,2021/2022
2021-08-22,Genoa,Sassuolo,0,2,1.63,0.543,Serie A,2021/2022
2021-08-22,Milan,Hellas Verona,3,1,2.71,0.621,Serie A,2021/2022
2021-08-22,Cagliari,Monza,0,0,1.226,1.136,Serie A,2021/2022
2021-08-22,Napoli,Atalanta,2,1,1.332,0.856,Serie A,2021/2022
2021-08-27,Napoli,Milan,0,2,1.242,0.99,Serie A,2021/2022
2021-08-27,Atalanta,Napoli,0,0,1.018,1.011,Serie A,2021/2022
2021-08-27,Salernitana,Sassuolo,0,2,1.277,1.137,Serie A,2021/2022
2021-08-27,Torino,Cagliari,3,1,1.559,0.721,Serie A,2021/2022
2021-08-27,Lecce,Fiorentina,0,1,0.793,1.336,Serie A,2021/2022
2021-08-28,Atalanta,Fiorentina,1,1,1.381,0.74,Serie A,2021/2022
2021-08-28,Torino,Lazio,3,3,0.913,1.121,Serie A,2021/2022
2021-08-29,Salernitana,Hellas Verona,2,1,1.038,1.219,Serie A,2021/2022
2021-08-29,Atalanta,Lazio,1,2,1.365,0.843,Serie A,2021/2022
2021-08-29,Atalanta,Sassuolo,2,1,2.459,0.505,Serie A,2021/2022
2021-09-03,Fiorentina,Salernitana,4,0,2.222,0.347,Serie A,2021/2022
2021-09-03,Frosinone,Juventus,2,3,0.4,2.399,Serie A,2021/2022
2021-09-03,Atalanta,Empoli,1,1,2.178,0.485,Serie A,2021/2022
2021-09-03,Fiorentina,Monza,2,0,1.782,0.603,Serie A,2021/2022
2021-09-03,Frosinone,Lecce,1,3,1.059,1.243,Serie A,2021/2022
2021-09-04,Frosinone,Inter,0,3,0.446,2.419,Serie A,2021/2022
2021-09-05,Torino,Hellas Verona,3,1,1.813,0.577,Serie A,2021/2022
2021-09-05,Roma,Inter,1,2,1.068,1.305,Serie A,2021/2022
2021-09-05,Fiorentina,Juventus,2,2,1.271,1.208,Serie A,2021/2022
2021-09-05,Sassuolo,Bologna,1,3,0.784,1.633,Serie A,2021/2022
2021-09-10,Napoli,Frosinone,2,0,2.79,0.3,Serie A,2021/2022
2021-09-10,Salernitana,Juventus,0,3,0.4,2.367,Serie A,2021/2022
2021-09-10,Empoli,Hellas Verona,0,1,1.49,0.996,Serie A,2021/2022
2021-09-10,Inter,Napoli,4,0,1.462,0.713,Serie A,2021/2022
2021-09-10,Cagliari,Bologna,0,1,0.849,1.273,Serie A,2021/2022
2021-09-10,Lazio,Lecce,2,1,1.922,0.668,Serie A,2021/2022
2021-09-11,Hellas Verona,Bologna,2,0,0.741,1.369,Serie A,2021/2022
